"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"169","2.230377927","188.125.72.139","10.0.0.6","TCP","66","0x010","1430","0x00","","443  >  53246 [ACK] Seq=1 Ack=2247 Win=1430 Len=0 TSval=2730655681 TSecr=4055460507"
"170","2.231151985","104.18.27.193","10.0.0.6","UDP","66","","","0x00","","443  >  57159 Len=24"
"171","2.231707166","104.18.27.193","10.0.0.6","UDP","65","","","0x00","","443  >  57159 Len=23"
"172","2.232663481","188.125.72.139","10.0.0.6","TLSv1.2","105","0x018","1432","0x00","TLS 1.2","Application Data"
"173","2.232688158","10.0.0.6","188.125.72.139","TCP","66","0x010","690","0x00","","53246  >  443 [ACK] Seq=3158 Ack=40 Win=690 Len=0 TSval=4055460601 TSecr=2730655682"
"174","2.233577235","34.149.50.64","10.0.0.6","UDP","69","","","0x80","","443  >  37554 Len=27"
"175","2.237852271","142.250.75.142","10.0.0.6","TLSv1.3","1465","0x010","1050","0x80","TLS 1.2,TLS 1.2","Server Hello, Change Cipher Spec"
"176","2.237879057","10.0.0.6","142.250.75.142","TCP","66","0x010","524","0x00","","58082  >  443 [ACK] Seq=1758 Ack=1400 Win=67072 Len=0 TSval=3508699000 TSecr=2102857835"
"177","2.238902772","142.250.75.142","10.0.0.6","TCP","1465","0x018","1050","0x80","","443  >  58082 [PSH, ACK] Seq=1400 Ack=1758 Win=268800 Len=1399 TSval=2102857835 TSecr=3508698935 [TCP PDU reassembled in 179]"
"178","2.238902925","142.250.75.142","10.0.0.6","TCP","2864","0x018","1050","0x80","","443  >  58082 [PSH, ACK] Seq=2799 Ack=1758 Win=268800 Len=2798 TSval=2102857835 TSecr=3508698935 [TCP PDU reassembled in 179]"
"179","2.238902949","142.250.75.142","10.0.0.6","TLSv1.3","2327","0x018","1050","0x80","TLS 1.2","Application Data"
"180","2.238932020","10.0.0.6","142.250.75.142","TCP","66","0x010","546","0x00","","58082  >  443 [ACK] Seq=1758 Ack=2799 Win=69888 Len=0 TSval=3508699001 TSecr=2102857835"
"181","2.238999319","10.0.0.6","142.250.75.142","TCP","66","0x010","577","0x00","","58082  >  443 [ACK] Seq=1758 Ack=7858 Win=73856 Len=0 TSval=3508699001 TSecr=2102857835"
"182","2.239464707","188.125.72.139","10.0.0.6","TLSv1.2","192","0x018","1432","0x00","TLS 1.2","Application Data"
"183","2.239464816","188.125.72.139","10.0.0.6","TLSv1.2","169","0x018","1432","0x00","TLS 1.2","Application Data"
"184","2.239472815","10.0.0.6","188.125.72.139","TCP","66","0x010","690","0x00","","53246  >  443 [ACK] Seq=3158 Ack=166 Win=690 Len=0 TSval=4055460608 TSecr=2730655686"
